Source,Position,Faculty,PostingDate,Link,Description,DueDate
UF Job Board,"Open Rank Faculty, Statistical Inference/Analytics/Machine Learning","University of Illinois, Department of Industrial & Enterprise Engineering",2018-10-02,http://forms.stat.ufl.edu/statistics-jobs/entry/5183/?pagenum=1,"The University of Illinois is an Equal Opportunity, Affirmative Action employer. Minorities, women, veterans and individuals with disabilities are encouraged to apply. For more information, visit http://go.illinois.edu/EEO. To learn more about the University commitment to diversity, please visit https://engineering.illinois.edu/about/diversity.html and http://inclusiveillinois.illinois.edu/. The Department of Industrial and Enterprise Systems Engineering at the University of Illinois at Urbana- Champaign invites applications for full-time open rank faculty with an emphasis in Statistical Inference/Analytics/Machine Learning. Endowed Chairs and Professorships for distinguished candidates are available in all research areas of the department including operations research, data analytics, decision and control systems, design and manufacturing, and financial engineering.Successful candidates are expected to direct graduate students in research, teach in the undergraduate and graduate programs, and develop a strong externally-funded research program. Ideal candidates include those who demonstrate evidence of a commitment to diversity, equity, and inclusion through research, teaching, and/or service endeavors. All candidates must have a PhD in Industrial, Systems, Electrical, Computer, or Mechanical Engineering, or a closely related discipline by the appointment start date.",2018-12-01
UF Job Board,Tenure-Track or Tenured Position in Statistics,Tulane University,2018-10-02,http://forms.stat.ufl.edu/statistics-jobs/entry/5181/?pagenum=1,"Mathematics Department6823 St Charles AveNew Orleans, LA 70118RCortez@tulane.edu504.865.5727 The Department of Mathematics at Tulane University invites applications for a tenuretrackor tenured position in Mathematical Statistics, to begin in the Fall 2019 semester.We seek candidates who have established a strong record of independent research, andhave demonstrated a commitment to excellence in teaching. Candidates with a Ph.D. inStatistics, Mathematics, or Applied Mathematics are welcome to apply. While all applicantswith appropriate credentials will be considered, preference will be shown to those with astrong methodological component to their research and to those who complement thestrengths of existing groups at Tulane.",NA
UF Job Board,"Assistant Professor, Teaching Stream - Statistics",University of Toronto Mississauga,2018-10-02,http://forms.stat.ufl.edu/statistics-jobs/entry/5180/?pagenum=1,"Department of Mathematical and Computational Sciences The Department of Mathematical and Computational Sciences at the University of Toronto Mississauga (UTM) invites applications for a full-time teaching stream appointment in the field of Statistics. The appointment will be at the rank of Assistant Professor, Teaching Stream and will commence on July 1, 2019, or shortly thereafter.We seek enthusiastic and innovative individuals pursuing an academic career in teaching Statistics. Responsibilities will include undergraduate teaching, managing teaching assistants, developing course materials, and curriculum development. In addition, each faculty member in the Department assumes some responsibility for student recruitment and departmental administration. Faculty members are also encouraged to initiate and supervise undergraduate projects. The University of Toronto is strongly committed to diversity within its community and especially welcomes applications from racialized persons / persons of colour, women, Indigenous / Aboriginal People of North America, persons with disabilities, LGBTQ persons, and others who may contribute to the further diversification of ideas.All qualified candidates are encouraged to apply; however, Canadians and permanent residents will be given priority.",2018-12-03
UF Job Board,Postdoctoral Fellowships,Eunice Kennedy Shriver National Institute of Child Health and Human Development,2018-10-02,http://forms.stat.ufl.edu/statistics-jobs/entry/5179/?pagenum=1,"The Epidemiology Branch is an intramural research program within the Division of Intramural Population Health Research atthe Eunice Kennedy Shriver National Institute of Child Health and Human Development. The Branch’s mission is to conduct original research focusing on human reproduction, pregnancy, maternal and child health. Branch scientists are internationally recognized as leaders in these areas, and are recruiting multiple post-doctoral fellows interested in male and female fertilityand reproduction, fetal growth and development, pregnancy complications (e.g., gestational diabetes, preterm birth,preeclampsia), environmental factors that impact reproductive health, genetics (statistical genetics, genetic epidemiology),birth defects, nutrition and lifestyle, obesity, type 2 diabetes, cardio-metabolic disorders, developmental origins of disease(neurodevelopment, cardio-metabolism, epigenetics), health disparities, and epidemiological methods.Our interdisciplinary program is designed to provide experiences that foster the development of skills necessary to conductindependent research and to cross-train fellows in related disciplines such as reproductive and perinatal epidemiology,endocrinology, pediatrics, genetics, nutrition, and statistics. Postdoctoral fellows have the opportunity to develop their own research initiatives within the mission of the Branch using the wealth of data from available cohorts. In the Epidemiology Branch we are seeking applicants with a range of analytical, technical, and clinical skills who are readyto tackle great challenges and make an impact on the lives of women, men, and children. Candidates legally approved towork in the USA with an earned doctoral degree in epidemiology, genetics or a closely related field or those with a medicaldegree and advanced graduate training in epidemiology, population health, or biostatistics within the past five years areinvited to apply. Preference will be given to candidates with demonstrated research interests in areas currently underinvestigation in the Branch and to candidates with superior analytic and communication skills. Salary is commensurate with training and relevant research experience. The position also provides paid health insurance and transportation benefits. Multiple positions are available and will remain open until qualified applicants are found.",2019-05-01
UF Job Board,Research Biostatistician,University of Oklahoma Health Sciences Center,2018-10-02,http://forms.stat.ufl.edu/statistics-jobs/entry/5178/?pagenum=1,"https://jobs.ou.edu/Discover-OU POSITION INFORMATION: Responsible for collaborating with medical and scientific researchers in study design, development of research instruments, collection, management and analysis of data, interpretation of results, preparation of reports, and publication of research. Experience in design and analysis of phase 1 and 2 cancer clinical trials are desired.REPRESENTATIVE DUTIES:1.  Study Design. Collaborates with medical and scientific researchers in designing research studies.2.  Instrument Development. Develops research instruments.3.  Data Collection. Oversees the collection of data and data entry.4.  Data Analysis. Analyzes large amounts of data and assists in the interpretation of such data.5.  Report Preparation. Prepares manuscripts and reports, and assists in the publication of research.6.  As Needed. Performs various duties as needed to successfully fulfill the function of the position.",NA
UF Job Board,Postdoctoral Fellowship in Biostatistics,University of Rhode Island,2018-10-02,http://forms.stat.ufl.edu/statistics-jobs/entry/5177/?pagenum=1,"The University of Rhode IslandCollege of PharmacyDepartment of Pharmacy Practice A postdoctoral fellow is sought to conduct innovative research to develop causal inference methodology combined in novel ways with network science to solve critical challenges at the nexus of HIV and substance use for network-based studies of HIV treatment and prevention among people who use drugs. The two-year position is funded by a five-year grant from the National Institute on Drug Abuse that supports methodological and applied research. The successful candidate will be appointed in the College of Pharmacy at the University of Rhode Island and will work under the mentorship of Drs. Ashley Buchanan and Natallia Katenka and collaborate with experts in a variety of fields including Medicine, Epidemiology, Statistics, and Public Health.",2018-11-01
UF Job Board,"Assistant Professor of Statistics, Tenure-track",Elon University,2018-10-02,http://forms.stat.ufl.edu/statistics-jobs/entry/5175/?pagenum=1,"Elon is a dynamic private, co-educational, comprehensive institution that is a national model for actively engaging faculty and students in teaching and learning in a liberal arts based residential campus. Tenure Track Position in StatisticsThe Department of Mathematics and Statistics at Elon University seeks applicants for a Tenure Track position in Statistics to begin mid-August 2019.  The successful candidate should have a PhD in statistics, statistics education, or related field.  Candidates with experience using statistical computing software in the classroom are encouraged to apply.Faculty members will typically teach six four-credit courses per year, with occasional course reassignment opportunities available. Teaching will primarily include courses in the statistics major, Statistics in Application (with SAS), Introduction to Statistical Reasoning, and courses in Elon’s Core Curriculum program.  Candidates should demonstrate the potential for excellence in engaging students through teaching and mentoring. Candidates should also demonstrate a record of, or potential for, a program of high quality scholarly activity, service, and professional development.  Candidates who have experience working with a diverse range of people and who can contribute to the climate of inclusivity are encouraged to identify their experiences in their cover letter. Elon is a dynamic private, co-educational, comprehensive institution that is a national model for actively engaging faculty and students in teaching and learning in a liberal arts based residential campus.  To learn more about Elon, please visit the University web site at www.elon.eduFor more information about the department and its’ curriculum, visit the department’s website at:http://www.elon.edu/e-web/academics/elon_college/mathematics_statistics/.Review of complete applications will begin immediately, but for full consideration, completed applications should be received by November 10, 2018.  Email letter of application, CV, undergraduate and graduate transcripts, statement of teaching philosophy, research statement, and three letters of recommendation (letters must be e-mailed directly from each reference with your name in the subject line) to the Mathematics and Statistics Search Committee Chair, at elonstats2018@elon.edu.  Elon University is an equal opportunity employer committed to a diverse faculty, staff and student body and welcomes all applicants.",2018-11-10
UF Job Board,Postdoctoral Research Associate,University of Arizona School of Mathematical Sciences,2018-10-01,http://forms.stat.ufl.edu/statistics-jobs/entry/5174/?pagenum=1,"The University of Arizona invites applications for open Postdoctoral positions (three-year appointment, non-tenure eligible) in its School of Mathematical Sciences, consisting of the Department of Mathematics, the Interdisciplinary Program in Statistics, and the Interdisciplinary Program in Applied Mathematics. Successful candidates will have a Ph.D. in Statistics, Mathematics, Applied Mathematics, or a related field, and will possess excellent research potential, a strong commitment to teaching, and a desire to contribute to and benefit from the rich scholarly environment of the School. Appointments begin in Fall 2019. The department is seeking candidates with excellent research potential and a strong commitment to teaching, who will contribute to and benefit from the rich environment of the department. Members of the department create, communicate, and apply mathematics of the highest caliber through activities such as internationally recognized research and graduate education, award winning undergraduate programs, and extensive outreach to local schools. Over the last five years, a large percentage of the faculty has been awarded grants and contracts from external funding agencies, with total expenditures averaging about $2.8 million per year. Postdoctoral Research Associates will benefit from a robust program of professional development. The teaching commitment is nine units per year, which is the equivalent of three one-semester courses per academic year, as well as maintaining an active research program.",2018-11-01
UF Job Board,Open Rank Faculty,University of Illinois,2018-10-01,http://forms.stat.ufl.edu/statistics-jobs/entry/5173/?pagenum=1,"The Department of Industrial and Enterprise Systems Engineering The Department of Industrial and Enterprise Systems Engineering at the University of Illinois at Urbana- Champaign invites applications for full-time open rank faculty with an emphasis in Statistical Inference/Analytics/Machine Learning. Endowed Chairs and Professorships for distinguished candidates are available in all research areas of the department including operations research, data analytics, decision and control systems, design and manufacturing, and financial engineering.The University of Illinois is an Equal Opportunity, Affirmative Action employer. Minorities, women, veterans and individuals with disabilities are encouraged to apply. For more information, visit http://go.illinois.edu/EEO. To learn more about the University commitment to diversity, please visit https://engineering.illinois.edu/about/diversity.html and http://inclusiveillinois.illinois.edu/",2018-12-01
UF Job Board,Assistant/Associate Professors of Biostatistics,Harvard T.H. Chan School of Public Health,2018-10-01,http://forms.stat.ufl.edu/statistics-jobs/entry/5171/?pagenum=2,"The Department of Biostatistics  (www.hsph.harvard.edu/biostatistics) offers an exceptional environment to pursue research and education in biostatistics while being at the forefront of efforts to benefit the health of populations worldwide. Our faculty are leaders in the development of methods for the design and analysis of clinical trials and observational studies, missing data, causal inference, precision health, network analysis, computational and systems biology, microbiome analysis, statistical genetics and genomics, neurostatistics, and environmental statistics. Our innovative approaches to the analysis of massive health-related data are strengthened by a deep foundation in theory and application. The department prides itself on having strong mentoring and a supportive environment for assistant and associate professors. Our unique and diverse community provides unparalleled collaborative opportunities with academic departments across Harvard, the Dana-Farber Cancer Institute, and other world-class Harvard affiliated hospitals.The Harvard T.H. Chan School of Public Health seeks to find, develop, promote, and retain the world’s best scholars.  We are committed to upholding the values of diversity, equity, and inclusion in our school and the communities we serve.Harvard University is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law. The Department of Biostatistics at the Harvard T.H. Chan School of Public Health seeks candidates to fill two tenure-track positions at the assistant or associate professor level. For at least one of the positions, we seek candidates with a strong background in biostatistical theory and methods, demonstrated expertise in the development of new methods, and an interest in collaborative research in public health and biomedical sciences. We also seek candidates with expertise in data science more broadly, including computational science, machine learning and related methods, with applications in health and biomedical research. Candidates should have the potential to become leaders in the development and application of biostatistical methods and computation in health sciences and should be enthusiastic about teaching, training, and mentorship through our graduate programs. Responsibilities will include methodological and collaborative research, teaching, and supervision of graduate students.",NA
UF Job Board,Assistant Professor of Statistics,Mount Holyoke College,2018-10-01,http://forms.stat.ufl.edu/statistics-jobs/entry/5170/?pagenum=2,"Mount Holyoke is an undergraduate liberal arts college for women with 2,200 students and 220 faculty. Over half the faculty are women; one-fourth are persons of color. Mount Holyoke College is located about 80 miles west of Boston in the Connecticut River valley, and is a member of the Five College Consortium consisting of Amherst, Hampshire, Mount Holyoke, and Smith Colleges and the University of Massachusetts.Mount Holyoke College is committed to enriching the educational experience it offers through the diversity of its faculty, administration, and staff members. Mount Holyoke seeks to recruit and support a broadly diverse faculty who will contribute to the college's academic excellence, diversity of viewpoints and experiences, and relevance in a global society. In furtherance of academic excellence, the College encourages applications from individuals from underrepresented groups in the professoriate, including faculty of color, faculty with diverse gender identities, first generation college students, individuals who have followed non-traditional pathways to college due to exceptional talent and motivation in the face of adversity, such as societal, economic or academic disadvantages, and individuals with a demonstrated commitment to applying and including diverse backgrounds and perspectives to learning, scholarship, service, and leadership in the academy. The Department of Mathematics and Statistics of Mount Holyoke College, which has offered a major in statistics for 30 years, invites applications for a tenure-track position in statistics at the Assistant Professor level to begin fall 2019. We seek candidates who have an active interest in work with undergraduates on statistical research projects and who have a demonstrated record of strong teaching at the undergraduate level including experience mentoring students who are broadly diverse with regard to race, ethnicity, socioeconomic status, gender, nationality, sexual orientation, and religion. Candidates with backgrounds in Bayesian methods, computational statistics, spatial analysis, big data, or related areas are especially welcome. Members of the department are active in both research and curriculum development and teach two courses per semester. The Five Colleges cooperate actively in statistics, and statisticians meet together regularly.Electronic submission of application materials through http://www.mathjobs.org is strongly preferred. A completed application should include a cover letter addressing your interest in Mount Holyoke College, a CV and three statements concerning (1) teaching philosophy, (2) research interests, and (3) a statement about mentoring a diverse student body. Applicants should also arrange to have three letters of reference submitted on their behalf. At least one letter should comment specifically on your teaching. Though applications will be accepted until the position is filled, please submit by November 1, 2018 to receive full consideration. For further information about the department go to http://www.mtholyoke.edu/acad/math/. For further information you may contact the search chair, Andrea Foulkes (math-stat-chair@mtholyoke.edu).We seek candidates who have an active interest in work with undergraduates on statistical research projects and who have a demonstrated record of strong teaching at the undergraduate level including experience mentoring students who are broadly diverse with regard to race, ethnicity, socioeconomic status, gender, nationality, sexual orientation, and religion. Candidates with backgrounds in Bayesian methods, computational statistics, spatial analysis, big data, or related areas are especially welcome. Members of the department are active in both research and curriculum development and teach two courses per semester. The Five Colleges cooperate actively in statistics, and statisticians meet together regularly.Electronic submission of application materials through http://www.mathjobs.org is strongly preferred. A completed application should include a cover letter addressing your interest in Mount Holyoke College, a CV and three statements concerning (1) teaching philosophy, (2) research interests, and (3) a statement about mentoring a diverse student body. Applicants should also arrange to have three letters of reference submitted on their behalf. At least one letter should comment specifically on your teaching. Though applications will be accepted until the position is filled, please submit by November 1, 2018 to receive full consideration. For further information about the department go to http://www.mtholyoke.edu/acad/math/. For further information you may contact the search chair, Andrea Foulkes (math-stat-chair@mtholyoke.edu).",2018-11-01
